1º Cartório de Registro de PJTDP de Goiânia ,  R$ 10.000 ,   10.000 ,,
,,,,
99,  R$ 33.000.000 ,   33.000.000 , renan ,1
,,, gabriel ,2
Accenture ,  R$ 13.700.000 ,,,
,,,,
Acqua Investimentos ,  R$ 3.000 ,,,
,,,,
Aché Laboratórios Farmacêuticos ,  R$ 5.000.000 ,,,
,,,,
Adama ,  R$ 100.000 ,,,
,,,,
Advent International ,  R$ 20.000.000 ,,,
,,,,
AeC ,  R$ 100.000 ,,,
,,,,
AES Brasil ,  R$ 85.000 ,,,
,,,,
Ajinomoto do Brasil ,  R$ 1.700.000 ,,,
,,,,
Agroquima Produtos Agropecuários Ltda ,  R$ 50.000 ,,,
,,,,
Alcoa ,  R$ 2.200.000 ,,,
,,,,
Ale Combustíveis ,  R$ 1.660.000 ,,,
,,,,
Alliansce Sonae ,  R$ 2.700.000 ,,,
,,,,
Alpargatas ,  R$ 40.000.000 ,,,
,,,,
Ambev ,  R$ 110.000.000 ,,,
,,,,
Amaggi ,  R$ 4.000.000 ,,,
,,,,
Amazon ,  R$ 5.000.000 ,,,
,,,,
Americanas.com ,  R$ 45.000.000 ,,,
,,,,
Amgen ,  R$ 510.000 ,,,
,,,,
Andrade Gutierrez ,  R$ 2.000.000 ,,,
,,,,
Anglo American ,  R$ 20.000.000 ,,,
,,,,
Anglo Ashanti ,  R$ 1.500.000 ,,,
,,,,
ArcelorMittal ,  R$ 19.000.000 ,,,
,,,,
Arteris ,  R$ 4.900.000 ,,,
,,,,
Assiplago ,  R$ 10.000 ,,,
,,,,
Associação Brasileira da Indústria Têxtil e de Confecção ,  R$ 53.000.000 ,,,
,,,,
Associação Goiana de Engenharia de Segurança do Trabalho ,  R$ 100.000 ,,,
,,,,
Associação dos Hospitais Privados ,  R$ 7.000 ,,,
,,,,
AVG ,  R$ 135.000 ,,,
,,,,
Banco BMG ,  R$ 6.000.000 ,,,
,,,,
Banco Cargill ,  R$ 20.000 ,,,
,,,,
Banco Máxima ,  R$ 3.000.000 ,,,
,,,,
Banco Safra ,  R$ 37.000.000 ,,,
,,,,
Bayer ,  R$ 5.700.000 ,,,
,,,,
BB Seguros ,  R$ 40.000.000 ,,,
,,,,
